Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du département;Nom de la région;Commentaires;Nom de la borne
TEM53;Rue Volney 53100 MAYENNE;2;18.0;COMBO;payant;24/24 7/7 jours;48.297358,-0.611277;Mayenne;MAYENNE;PAYS DE LA LOIRE;;B2671
TEM53;Rue Des Charmes 53480 VAIGES;2;18.0;COMBO;payant;24/24 7/7 jours;48.039426,-0.475751;Vaiges;MAYENNE;PAYS DE LA LOIRE;;B2672
TEM53;Promenade De Mahier 53200 CHÂTEAU GONTIER;2;18.0;COMBO;payant;24/24 7/7 jours;47.826223,-0.707706;Château-Gontier-sur-Mayenne;MAYENNE;PAYS DE LA LOIRE;;B2673
TE90;place de la résistance;4;22.0;COMBO;payant;24/24 7/7 jours;47.641452,6.853426;Belfort;TERRITOIRE DE BELFORT;BOURGOGNE-FRANCHE-COMTE;;B2674
Révéo;Rue Du Somport Parking Grande Halle 31240 L'UNION;2;22.0;COMBO;payant;24/24 7/7 jours;43.655792,1.481414;L'Union;HAUTE-GARONNE;OCCITANIE;;B2675
MOBILOIRE;1 rue du marechal leclerc;2;22.0;COMBO;payant;24/24 7/7 jours;45.397198,4.263087;Unieux;LOIRE;AUVERGNE-RHONE-ALPES;;B2676
DIRVE 02;Place Edouard Herriot 02370 VAILLY SUR AISNE;2;22.0;COMBO;payant;24/24 7/7 jours;49.41096,3.516168;Vailly-sur-Aisne;AISNE;HAUTS-DE-FRANCE;;B2677
DIRVE 02;Parking la Plaine 02000 LAON;2;22.0;COMBO;payant;24/24 7/7 jours;49.56431481,3.629071994;Laon;AISNE;HAUTS-DE-FRANCE;;B2678
DIRVE 02;Parking des Bains du Lac 02200 MERCIN ET VAUX;2;22.0;COMBO;payant;24/24 7/7 jours;49.379687,3.29882;Mercin-et-Vaux;AISNE;HAUTS-DE-FRANCE;;B2679
DIRVE 02;Parking de la Cri�e 02100 SAINT QUENTIN;2;22.0;COMBO;payant;24/24 7/7 jours;49.848133,3.286103;Saint-Quentin;AISNE;HAUTS-DE-FRANCE;;B2680
DIRVE 02;ESPACE AQUATIQUE-la moiserie- 02400 CH�TEAU THIERRY;2;22.0;COMBO;payant;24/24 7/7 jours;49.066064,3.391396;Château-Thierry;AISNE;HAUTS-DE-FRANCE;;B2681
DIRVE 02;Rue de Proviseux 02190 GUIGNICOURT;2;22.0;COMBO;payant;24/24 7/7 jours;49.433589,3.970726;Villeneuve-sur-Aisne;AISNE;HAUTS-DE-FRANCE;;B2682
DIRVE 02;Place de la citoyennet�. face au centre social Europe 02100 SAINT QUENTIN;2;22.0;COMBO;payant;24/24 7/7 jours;49.85962,3.295229;Saint-Quentin;AISNE;HAUTS-DE-FRANCE;;B2683
DIRVE 02;Place de l'h�tel de ville 02120 SAINS RICHAUMONT;2;22.0;COMBO;payant;24/24 7/7 jours;49.82367,3.702376;Sains-Richaumont;AISNE;HAUTS-DE-FRANCE;;B2684
DIRVE 02;Rue Jean Moulin 02120 GUISE;2;22.0;COMBO;payant;24/24 7/7 jours;49.8991089,3.630578949;Guise;AISNE;HAUTS-DE-FRANCE;;B2685
DIRVE 02;Place du G�n�ral LECLERC 02000 LAON;2;22.0;COMBO;payant;24/24 7/7 jours;49.564852,3.620405;Laon;AISNE;HAUTS-DE-FRANCE;;B2686
DIRVE 02;Parking rue de l'aigle noir 02320 ANIZY LE CH�TEAU;2;22.0;COMBO;payant;24/24 7/7 jours;49.504649,3.450753;Anizy-le-Grand;AISNE;HAUTS-DE-FRANCE;;B2687
DIRVE 02;Place Saint christophe 02200 SOISSONS;2;22.0;COMBO;payant;24/24 7/7 jours;49.3821,3.321506;Soissons;AISNE;HAUTS-DE-FRANCE;;B2688
DIRVE 02;rue de l'Eclaireur de Nice 02510 ETREUX;2;22.0;COMBO;payant;24/24 7/7 jours;49.99141,3.655216;Étreux;AISNE;HAUTS-DE-FRANCE;;B2689
DIRVE 02;Boulevard Jeanne d'Arc - Etats Unis 02200 SOISSONS;2;22.0;COMBO;payant;24/24 7/7 jours;49.374555,3.327769;Soissons;AISNE;HAUTS-DE-FRANCE;;B2690
DIRVE 02;Rue de l'�glise 02800 COURBES;2;22.0;COMBO;payant;24/24 7/7 jours;49.684815,3.452373;Courbes;AISNE;HAUTS-DE-FRANCE;;B2691
DIRVE 02;Rue de l'église 02800 COURBES;2;22.0;COMBO;payant;24/24 7/7 jours;49.68481474,3.452373439;Courbes;AISNE;HAUTS-DE-FRANCE;;B2692
DIRVE 02;Avenue de la Victoire 02440 MONTESCOURT LIZEROLLES;2;22.0;COMBO;payant;24/24 7/7 jours;49.73335854,3.245405801;Jussy;MOSELLE;GRAND EST;;B2693
MOBILOIRE;11 rue de l'hôtel de ville;2;22.0;COMBO;payant;24/24 7/7 jours;45.467654,4.352902;Villars;EURE-ET-LOIR;CENTRE-VAL DE LOIRE;;B2694
